"PLAYER_NAME";"TEAM_ABBREVIATION";"AGE";"PTS";"AST";"REB";"OREB";"DREB";"TOV";"STL";"BLK";"FG_PCT";"FG3_PCT";"FT_PCT";"Peso";"Altura";"Position"
"Trey Burke";"DAL";29;17,5;4,7;2,7;0,3;2,4;2,1;1;0;0,391;0,317;0,87;83,91452;1,8288;"PG"
"Trey Lyles";"SAC";26;18,4;2,1;8,9;2,1;6,8;1,7;0,7;0,7;0,466;0,321;0,802;106,140528;2,0574;"PF"
"Trey Murphy III";"NOP";22;13,9;1,6;6,1;2;4,2;0,7;1;0,3;0,394;0,382;0,882;93,439952;2,032;"SF"
"Tristan Thompson";"CHI";31;13,8;1,4;11,6;4,8;6,7;1,8;0,9;0,8;0,528;0,333;0,526;115,212368;2,0574;"C"
"Troy Brown Jr.";"CHI";22;9,7;2,3;6,9;1,3;5,6;0,9;1,2;0,2;0,419;0,353;0,769;97,52228;2,0066;"SF"
"Ty Jerome";"OKC";24;15,3;4,9;3,5;0,9;2,7;1,7;1,3;0,2;0,378;0,29;0,809;88,45044;1,9558;"SG"
"Tyler Cook";"CHI";24;12,1;0,5;9,6;2,9;6,7;1,3;0,7;0,7;0,605;0;0,656;115,66596;2,032;"PF"
"Tyler Hall";"NYK";25;0;0;0;0;0;0;0;0;0;0;0;94,800728;1,9558;"SG"
"Tyler Herro";"MIA";22;22,9;4,4;5,5;0,5;5;2,9;0,7;0,1;0,447;0,399;0,868;88,45044;1,9558;"SG"
"Tyler Johnson";"SAS";30;6,7;2,8;4,7;1,2;3,5;0,8;1,2;1,2;0,3;0,385;0;84,368112;1,905;"PG"
"Tyrell Terry";"MEM";21;23,6;0;0;0;0;0;0;0;1;0;0;72,57472;1,8796;"PG"
"Tyrese Haliburton";"IND";22;15,8;8,4;4,2;0,8;3,3;2,7;1,8;0,7;0,473;0,414;0,842;83,91452;1,9558;"PG"
"Tyrese Maxey";"PHI";21;17,8;4,4;3,3;0,4;2,9;1,2;0,7;0,4;0,485;0,427;0,866;90,7184;1,8796;"PG"
"Tyrone Wallace";"NOP";28;8,2;0,5;3,8;0;3,8;1;1,4;0,5;0,35;0,25;0,2;89,811216;1,9558;"SG"
"Tyus Jones";"MEM";26;14,7;7,5;4,1;0,4;3,7;1,1;1,5;0;0,451;0,39;0,818;88,904032;1,8288;"PG"
"Udoka Azubuike";"UTA";22;14,8;0;13,1;3,3;9,8;2,2;0,2;2;0,755;0;0,545;122,46984;2,1082;"C"
"Udonis Haslem";"MIA";42;13,8;1,7;10,8;1,7;9,1;2,2;0,4;0,4;0,452;0,25;1;106,59412;2,0066;"C"
"Usman Garuba";"HOU";20;7,2;2,6;12,5;3,2;9,3;0,9;1,5;1,7;0,432;0,25;0,714;103,872568;2,032;"PF"
"Vernon Carey Jr.";"WAS";21;16,3;0;9,8;6,5;3,3;2,4;1,6;0,8;0,538;0;0,462;122,46984;2,0828;"C"
"Victor Oladipo";"MIA";30;20,6;5,8;4,8;0,6;4,2;3,3;1;0,2;0,479;0,417;0,737;96,615096;1,905;"SG"
"Vlatko Čančar";"DEN";25;12,7;3,5;6,3;1,6;4,7;1,8;0,4;0,6;0,561;0,583;0,643;107,047712;2,032;"PF"
"Vít Krejčí";"OKC";22;9,8;3;5,3;0,9;4,3;1,5;1;0,4;0,407;0,327;0,864;88,45044;2,032;"SG"
"Wayne Ellington";"LAL";34;12,8;1,3;3,4;0,4;3;0,8;1;0,2;0,414;0,389;0,818;93,893544;1,9304;"SG"
"Wayne Selden";"NYK";27;9,4;1,9;1,9;0;1,9;0;0;0;0,25;0,5;0,5;105,233344;1,9304;"SG"
"Wendell Carter Jr.";"ORL";23;18,1;3,3;12,6;2,7;9,9;2,3;0,7;0,8;0,525;0,327;0,691;122,46984;2,0828;"PF"
"Wenyen Gabriel";"LAL";25;14,1;1,4;9,7;3,9;5,8;1,6;0,5;1,1;0,491;0,286;0,595;92,98636;2,0574;"PF"
"Wes Iwundu";"ATL";27;9,6;0;5,7;1,3;4,4;0,4;0,4;0;0,444;0,6;0,75;88,45044;1,9812;"SF"
"Wesley Matthews";"MIL";35;8,9;1,3;3,3;1,1;2,2;0,6;0,8;0,3;0,395;0,338;0,786;99,79024;1,9558;"SG"
"Will Barton";"DEN";31;16,5;4,4;5,4;0,7;4,7;2;0,9;0,5;0,438;0,365;0,803;82,100152;1,9558;"SG"
"Willie Cauley-Stein";"PHI";28;6,7;2;7,9;2,6;5,3;1,4;1,2;0,6;0,457;0,5;0,5;108,86208;2,1336;"C"
"Willy Hernangomez";"NOP";28;19,4;2,7;14,5;6,1;8,4;2,2;0,9;0,8;0,52;0,333;0,773;113,398;2,1082;"C"
"Xavier Moon";"LAC";27;15,2;6,3;3,7;0,5;3,1;1,6;1,8;0,8;0,49;0,357;0,6;74,84268;1,8288;"SG"
"Xavier Sneed";"UTA";24;4,6;0,9;5,6;1,9;3,7;0;0;0;0,2;0,125;0;97,52228;1,9558;"SF"
"Xavier Tillman";"MEM";23;12,9;3,2;8,3;3,4;4,9;1,7;2,5;0,8;0,454;0,204;0,648;111,13004;2,032;"PF"
"Yuta Watanabe";"TOR";27;13,2;1,7;7,4;1,5;6;1,5;0,9;1,3;0,406;0,342;0,6;97,52228;2,0574;"SF"
"Yves Pons";"MEM";23;6,6;0,5;6,1;2,5;3,6;0,5;0,5;2;0,313;0,333;0;93,439952;1,9558;"SF"
"Zach Collins";"SAS";24;15,6;4,4;11;3,3;7,7;3,2;0,9;1,6;0,49;0,341;0,8;108,86208;2,0574;"C"
"Zach LaVine";"CHI";27;25,3;4,7;4,8;0,3;4,4;2,6;0,6;0,4;0,476;0,389;0,853;90,7184;1,9558;"SG"
"Zavier Simpson";"OKC";25;9,1;6,2;4,3;0,4;3,9;2,1;1;0,8;0,365;0,125;1;86,18248;1,8288;"PG"
"Zeke Nnaji";"DEN";21;13,9;0,9;7,6;2,9;4,7;1,2;0,8;0,7;0,516;0,463;0,631;108,86208;2,0828;"PF"
"Ziaire Williams";"MEM";20;13,4;1,7;3,4;0,7;2,8;1,1;0,9;0,3;0,45;0,314;0,782;83,91452;2,0574;"SF"
"Zylan Cheatham";"UTA";26;0;0;0;0;0;0;0;0;0;0;0;99,79024;1,9558;"SF"
